sourceTerm,translationValue,localeCode,state,active
Setting,Cài đặt,vi_VN,normal,true
Manager,Quản lý,vi_VN,normal,true
User,Người dùng,vi_VN,normal,true
Group,Nhóm,vi_VN,normal,true
Org,Tổ chức,vi_VN,normal,true
Organization,Tổ chức,vi_VN,normal,true
Technical,Kỹ thuật,vi_VN,normal,true
Security,Bảo mật,vi_VN,normal,true
Access Rights,Quyền truy cập,vi_VN,normal,true
Document Access,Quyền cho Document,vi_VN,normal,true
User interface,Giao diện người dùng,vi_VN,normal,true
Menu,Menu,vi_VN,normal,true
Database Structure,Cấu trúc Database,vi_VN,normal,true
Translation,Dịch,vi_VN,normal,true
Translations,Dịch,vi_VN,normal,true
Languages,Ngôn ngữ,vi_VN,normal,true
Language,Ngôn ngữ,vi_VN,normal,true
Translated Terms,Dịch thuật,vi_VN,normal,true
This field cannot be left blank,Không được bỏ trống trường này,vi_VN,normal,true